name,designer,nationality,type,location 
ae,Alber Elbaz,Israel,1,NA
af,Adele Fendi ,italian ,1,NA
algc,Aldo Gucci,italian,1,NA
almi,Alessandro Michele,italian,1,NA
alsa,Aleesandro Sartori,italian,1,NA
amc,Alexander MCQueen,british,1,NA
anm,Antonio Marras,italian,1,NA
anpo,Andrea Pompilio,italian,1,NA
anv,Andrè Vincent,french,1,NA
avc,Anthony Vaccerello,belgium,1,NA
ba,Balenciaga,,2,San Sebastián Spain
bea,Bernard Arnault,french,1,NA
bea,Bernard Arnault,french,1,NA
bigy,Bill Gaytten,british,1,NA
blm,Balmain,,2,Paris France
boca,Bonnie Cashin,american,1,NA
bp,Brands Partners 2,,2,New York City United States
bv,Bottega Veneta,,2,Vicenza Italy
cal,Carol Lim,american,1,NA
car,Carlyle,,2,Washington United States
cb,Christobal Balenciaga,spanish,1,NA
ce,Celine,,2,Paris France
cev,Céline Vipiana,french,1,NA
ch,Chanel,,1,Paris France
chdi,Christian Dior,french,1,NA
coa,Coach,,2,New York City United States
coc,Coco Chanel,french,1,NA
ct,Chantal Thomass,french,1,NA
cwk,Clare Waight Keller,british,1,NA
dd,Domenico Dolce ,italian,1,NA
ddf,Delfina Delettrez Fendi,italian,1,NA
dg,Dolce Gabbana,,2,Legnano Italy
di,Dior,,2,Paris France
dod,Domenico Dolce,italian,1,NA
ef,Eduardo Fendi,italian ,1,NA
eur,Eurazeo,,2,Paris France
fav,Familie Vipiana,french,1,NA
faw,Familie Wertheimer,french,1,NA
fe,Fendi,,2,Rome Italy
fes,Fendi Schwestern ,italian ,1,NA
fgi,Frida Giannini,italian,1,NA
fob,Felipe Oliveira Baptista,portuguese,1,NA
fri,Francesca Risso,italian,1,NA
gb,Gaston Berthelot,french,1,NA
gcc,Guccio Gucci,italian,1,NA
gci,Gucci,,2,Florence Italy
gd,Giles Deacon,british ,1,NA
giar,Giorgia Armani,italian,1,NA
giarp,Giorgia Armani person,italian,1,NA
gifr,Gianfranco Ferre,italian,1,NA
giv,Givenchy,,2,Paris France
grs,Gilles Rosier,french,1,NA
hdg,Hubert de Givenchy,french,1,NA
hsl,Hedi Slimane,french,1,NA
hul,Humberto Leon,american,1,NA
ivo,Ivana Omazić,croatian,1,NA
jc,Jean Cazaubon,french,1,NA
jcf,Jacques Fath,,2,Paris France
jg,John Galliano,british,1,NA
jmd,Julien MacDonald,british,1,NA
ke,Kenzo,,2,Paris France
ker,Kering,,2,Rennes France
kj,Kim Jones,british ,1,NA
kl,Karl Lagerfeld,german,1,NA
kt,Kenzo Takada,japanese,1,NA
kva,Kris Van Assche,belgian,1,NA
lb,Laura Braggion,italian ,1,NA
dam,Dawn Mello,american,1,NA
lilc,Lilan Cahn,american,1,NA
ll, Lucien Lelong,,2,Paris France
lu,Lucie Meier,french,1,NA
lul,Lucien Lelong,french,1,NA
lupr,Luisa Prada,italian,1,NA
lvmh,LVMH Moet Hennessy Louis Vuitton SE,,2,Paris France
mapr,Mario Prada,italian,1,NA
mbo,Marcel Boussac,french,1,NA
mgc,Maria Grazia Chiuri,italian,1,NA
mila,Michele Lamy,french,1,NA
mipr,Miuccia Prada        ,italian,1,NA
mk,Michael Kors,american,1,NA
mmw,Matthew M. Williams,american,1,NA
mo,Moncler,,2,Monestier-de-Clermont France
mos,Moncler S.r.l.,,2,Milan Italy
mr,Michael Rider,american,1,NA
mt,Michele Taddei ,italian ,1,NA
mtb,Matthieu Blazy,french,1,NA
neba,Neil Barrett,british,1,NA
ni,Nigo,japanese,1,NA
nice,Nino Cerruti,italian,1,NA
ozb,Ozwald Boateng,british,1,NA
pbe,Pieree Berge,french,1,NA
pep,Pepper Industries S.p.A.,,2,Milan Italy
pep,Peter Philips,belgian,1,NA
pg,Philippe Guibourge,french,1,NA
phk,Peggy Huynh-Kinh,french,1,NA
pp,Phoebe Philo,british,1,NA
pr,Prada,,2,Milan Italy
prgr,Prada Group,,2,Milan Italy
re,Ramon Esparza,spanish,1,NA
reru,Remo Ruffini ,italian,1,NA
rit,Riccardo Tisci,italian,1,NA
rkf,Reed Krakoff,american,1,NA
rkr,Roy Krejberg,danish,1,NA
rmc, Roberto Menichetti,italian,1,NA
rp,Robert Piguet,,2,Paris France
rr,René Ramillon,french,1,NA
rv,Richard Vipiana,french,1,NA
rz,Renzo Zengiaro,italian ,1,NA
sb,Sergio Buongiovanni,italian,1,NA
sds,Sabato De Sarno,italian,1,NA
sg,Stefano Gabbana,italian ,1,NA
sip,Schiaparelli ,,2,Paris France
sp,Stefano Pilati,italian,1,NA
srf,Serge Ruffieux,french,1,NA
srll,Stephane Rolland,french,1,NA
sve,Stuart Vevers,british,1,NA
svf,Silvia Venturini Fendi,italian ,1,NA
tf,Tom Ford,america,1,NA
tm,Tomas Maier,german,1,NA
tst,Tapestry,,2,New York City United States
vfh,Vela Financial Holding,,2,NA
vv,Virginie Viard,french,1,NA
yd,Yvonne Dudel,french,1,NA
rs,Raf Simons,belgian,1,
ysl,Yves Saint Laurent,french,2,Paris France
yslp,Yves Henri Donat Mathieu Saint Laurent,algeria,1,NA
dle,Daniel Lee,british ,1,NA
